frame,ped_id,y_meter,x_meter
2,1,2.6472512017255254,7.989730390329959
2,2,-1.06173176540957,-5.2749100289246895
2,3,-0.12740781177796087,4.726319385004046
2,4,1.1183574595990224,5.640637123844222
2,6,0.4105362825274804,4.515322983970366
2,7,-0.1981899295642123,0.9283841648564611
3,1,2.6330947781287266,7.947531110739761
3,2,-1.06173176540957,-5.2749100289246895
3,3,-0.12740781177796087,4.698186532971476
3,4,1.1183574595990224,5.612504270270309
3,6,0.4105362825274804,4.515322983970366
3,7,-0.1981899295642123,0.8861848852662623
3,9,2.9870053666644973,5.429640722810542
4,1,2.6330947781287266,7.919398257165848
4,2,-1.075888189006369,-5.288976454940974
4,3,-0.12740781177796087,4.6559872518399334
4,4,1.1183574595990224,5.612504270270309
4,6,0.3963798591284246,4.487190130396453
4,7,-0.18403350596741339,0.8721184577086339
4,9,2.9870053666644973,5.387441443220343
5,1,2.6189383545319274,7.849066122460392
5,2,-1.0900446124054246,-5.303042882498603
5,3,-0.11325138837890508,4.613787972249735
5,4,1.1183574595990224,5.584371416696394
5,6,0.4105362825274804,4.4168579972323405
5,7,-0.16987708237061447,0.8299191781184352
5,9,2.9870053666644973,5.345242162088801
5,13,-0.6511954826843463,4.557522265101908
6,1,2.6189383545319274,7.8209332688864786
6,2,-1.0900446124054246,-5.317109308514888
6,3,-0.11325138837890508,4.557522265101908
6,4,1.1183574595990224,5.584371416696394
6,6,0.42469270612427934,4.4027915712160555
6,7,-0.16987708237061447,0.8158527505608069
6,9,2.9870053666644973,5.317109308514888
6,13,-0.6511954826843463,4.54345583754428
7,1,2.6047819311328717,7.77873398929628
7,2,-1.0900446124054246,-5.331175736072516
7,3,-0.09909496478210615,4.515322983970366
7,4,1.1183574595990224,5.47184000240074
7,6,0.42469270612427934,4.374658717642141
7,7,-0.1557206589715587,0.7877198969868934
7,9,2.9870053666644973,5.2608436013670605
7,13,-0.6511954826843463,4.515322983970366
7,17,3.454167343381431,4.909182934005156
8,1,2.6047819311328717,7.750601135722367
8,2,-1.1042010360022234,-5.345242162088801
8,3,-0.09909496478210615,4.501256557954081
8,4,1.132513882998078,5.443707150368169
8,6,0.42469270612427934,4.346525864068228
8,7,-0.1557206589715587,0.7595870434129798
8,9,2.9870053666644973,5.232710747793147
8,13,-0.6511954826843463,4.487190130396453
8,17,3.468323766978229,4.881050080431242
8,19,-4.317709179226788,-1.1534469934477694
9,1,2.590625507536073,7.680269002558254
9,2,-1.1183574595990224,-5.373375015662715
9,3,-0.09909496478210615,4.444990850806254
9,4,1.132513882998078,5.401507869236628
9,6,0.4105362825274804,4.2902601569204
9,7,-0.11325138837890508,0.7314541913804092
9,9,2.9728489430676985,5.190511468202948
9,13,-0.6653519062811453,4.430924424789969
9,17,3.468323766978229,4.8388507992997
9,19,-4.261083485037336,-1.1534469934477694
10,1,2.590625507536073,7.652136148984341
10,2,-1.132513882998078,-5.387441443220343
10,3,-0.09909496478210615,4.4027915712160555
10,4,1.132513882998078,5.373375015662715
10,6,0.38222343553162574,4.276193729362772
10,7,-0.09909496478210615,0.7033213378064957
10,9,2.9728489430676985,5.162378614629034
10,13,-0.6653519062811453,4.4027915712160555
10,17,3.4824801905750284,4.810717945725787
10,19,-4.24692706163828,-1.139380565890141
10,21,-4.6999326147584135,-0.6751884842325822
11,1,2.590625507536073,7.609936867852797
11,2,-1.1466703065948771,-5.401507869236628
11,3,-0.07078211778625146,4.374658717642141
11,4,1.1466703065948771,5.345242162088801
11,6,0.38222343553162574,4.219928023756288
11,7,-0.08493854118530723,0.7033213378064957
